feature,r2
node151,0.010448839878178524
CalcRDF-188_1,0.010442344746697009
GetUSRCAT-33_1,0.01043434413570088
CalcCrippenDescriptors-0_0,0.010417905783421878
GetUSRCAT-44_1,0.010387479080443435
GetUSRCAT-46_1,0.010315419959268286
node1151,0.01030937367087066
CalcNumAromaticCarbocycles_0,0.010307994605142529
CalcMORSE-173_0,0.010291605110699978
CalcMORSE-105_1,0.010276075616160665
CalcMORSE-14_0,0.01027494506009788
CalcMORSE-207_1,0.01011584473644024
CalcMORSE-107_0,0.010098877564865605
CalcWHIM-77_1,0.010076966482894077
BCUT2D-3_1,0.010037996277707418
CalcMORSE-194_0,0.01002256429661188
GetUSRCAT-18_1,0.01000823711548002
CalcMORSE-68_0,0.010000228163503882
CalcMORSE-205_1,0.00998152727986639
GetUSRCAT-15_1,0.00996913655281414
CalcMORSE-43_1,0.009968885126170437
CalcTPSA_1,0.009924320733835887
GetUSR-7_0,0.009922781977144787
GetUSRCAT-7_0,0.009922781977144787
CalcMORSE-196_1,0.0099125173846715
CalcWHIM-22_1,0.009908362855467532
CalcMORSE-194_1,0.009886758055224302
node2151,0.009880333361130226
MQNs_-0_1,0.00986462610870182
CalcFractionCSP3_1,0.009837535149540538
CalcMORSE-25_1,0.009825807403652442
mc-Z-2-all,0.009808552511657465
CalcMORSE-83_1,0.00979518350502204
CalcMORSE-164_1,0.009782648618255979
lc-alpha-2-all,0.009774554097103415
CalcMORSE-57_1,0.009767082426149345
node2152,0.009758646551802093
CalcMORSE-41_0,0.009741466150621558
lc-S-0-all,0.009723765977030304
MQNs_-7_0,0.00964236436370402
CalcHallKierAlpha_1,0.00962770799739303
D_mc-S-3-all,0.009605608646346133
GetUSRCAT-46_0,0.009574882682452284
BCUT2D-7_0,0.00956779733935845
CalcMORSE-193_0,0.009472784919879709
node21638,0.009459363025460304
CalcMORSE-135_1,0.009433729288416718
CalcRDF-181_1,0.009384400578339266
CalcMORSE-217_0,0.009378443036155804
BCUT2D-6_1,0.009317216775907109
linker21777,0.00931571017572536
GetUSRCAT-45_0,0.009302823061621852
CalcMORSE-174_0,0.009298832778646121
node1303,0.009278903161637445
CalcMORSE-83_0,0.009276416441302993
CalcMORSE-173_1,0.00927569745630535
CalcRDF-152_0,0.00927524200636646
CalcMORSE-218_0,0.009196650264288309
CalcMORSE-45_1,0.009192858018046556
linker11528,0.009189256335991448
CalcMORSE-110_0,0.009188534935433269
GetUSR-3_0,0.009150392674492771
GetUSRCAT-3_0,0.009150392674492771
CalcMORSE-97_1,0.009116441064180565
linker21502,0.009076213587261642
node11638,0.009018439657915643
CalcMORSE-1_1,0.009014154925772386
CalcRDF-2_0,0.00898879326289466
CalcMORSE-169_1,0.008959835274345003
GetUSR-10_0,0.008954913832819962
GetUSRCAT-10_0,0.008954913832819962
BCUT2D-2_0,0.008950053311851334
CalcMORSE-105_0,0.008923608095291566
node2154,0.008922026783575352
CalcMORSE-183_0,0.008921668187037305
linker21101,0.008902547571058825
D_lc-Z-3-all,0.008898575950565864
CalcMORSE-9_1,0.008892997420548967
node2303,0.008891757500934964
CalcMORSE-171_0,0.00882302544075722
CalcRDF-123_1,0.008822582089127597
CalcMORSE-151_1,0.008813088664421381
CalcRDF-193_1,0.008809365310572855
CalcRDF-33_1,0.008785280972874975
GetUSR-0_0,0.008771313462246294
