name,linker1,linker2
ARAHIM02_clean,ARAHIM02_clean_linker_0.xyz,ARAHIM02_clean_linker_0.xyz
PEWGEF_clean,PEWGEF_clean_linker_1.xyz,PEWGEF_clean_linker_1.xyz
OSOTUN_clean,OSOTUN_clean_linker_3.xyz,OSOTUN_clean_linker_3.xyz
HIFVOI_clean,HIFVOI_clean_linker_7.xyz,HIFVOI_clean_linker_7.xyz
EMUTUD_clean,EMUTUD_clean_linker_1.xyz,EMUTUD_clean_linker_4.xyz
ZUDXAZ_clean,ZUDXAZ_clean_linker_2.xyz,ZUDXAZ_clean_linker_2.xyz
TIKMEH_clean,TIKMEH_clean_linker_11.xyz,TIKMEH_clean_linker_12.xyz
OHIHET_clean,OHIHET_clean_linker_2.xyz,OHIHET_clean_linker_2.xyz
XICNOO01_clean,XICNOO01_clean_linker_16.xyz,XICNOO01_clean_linker_16.xyz
OFEHAK_clean,OFEHAK_clean_linker_2.xyz,OFEHAK_clean_linker_2.xyz
PIBGAK_clean,PIBGAK_clean_linker_3.xyz,PIBGAK_clean_linker_3.xyz
AROFET_clean,AROFET_clean_linker_0.xyz,AROFET_clean_linker_0.xyz
QOSJIT_clean,QOSJIT_clean_linker_16.xyz,QOSJIT_clean_linker_16.xyz
GAXKOH_clean,GAXKOH_clean_linker_11.xyz,GAXKOH_clean_linker_11.xyz
CAWGAJ_clean,CAWGAJ_clean_linker_5.xyz,CAWGAJ_clean_linker_5.xyz
TEBSAW_clean,TEBSAW_clean_linker_1.xyz,TEBSAW_clean_linker_1.xyz
OTUDEO_clean,OTUDEO_clean_linker_4.xyz,OTUDEO_clean_linker_4.xyz
UTEWOG_clean,UTEWOG_clean_linker_2.xyz,UTEWOG_clean_linker_2.xyz
GEGGIK_clean,GEGGIK_clean_linker_3.xyz,GEGGIK_clean_linker_3.xyz
AWEZOS01_clean,AWEZOS01_clean_linker_13.xyz,AWEZOS01_clean_linker_13.xyz
LAVSUY_clean,LAVSUY_clean_linker_1.xyz,LAVSUY_clean_linker_1.xyz
NUVYIN_clean,NUVYIN_clean_linker_2.xyz,NUVYIN_clean_linker_3.xyz
TEBWII_clean,TEBWII_clean_linker_11.xyz,TEBWII_clean_linker_11.xyz
ERUVEU_clean,ERUVEU_clean_linker_3.xyz,ERUVEU_clean_linker_3.xyz
LAZHUR_clean,LAZHUR_clean_linker_1.xyz,LAZHUR_clean_linker_0.xyz
PUQXUV_clean,PUQXUV_clean_linker_2.xyz,PUQXUV_clean_linker_2.xyz
LIFSAW_clean,LIFSAW_clean_linker_8.xyz,LIFSAW_clean_linker_9.xyz
ILOJEZ_clean,ILOJEZ_clean_linker_5.xyz,ILOJEZ_clean_linker_4.xyz
BAKYOE_clean,BAKYOE_clean_linker_11.xyz,BAKYOE_clean_linker_2.xyz
FIXVUE_clean,FIXVUE_clean_linker_49.xyz,FIXVUE_clean_linker_49.xyz
NEXXEV_clean,NEXXEV_clean_linker_2.xyz,NEXXEV_clean_linker_2.xyz
YAPYUK_clean,YAPYUK_clean_linker_3.xyz,YAPYUK_clean_linker_2.xyz
PASTOU_clean,PASTOU_clean_linker_2.xyz,PASTOU_clean_linker_2.xyz
UNIPAJ_clean,UNIPAJ_clean_linker_0.xyz,UNIPAJ_clean_linker_1.xyz
YARBUQ_clean,YARBUQ_clean_linker_1.xyz,YARBUQ_clean_linker_2.xyz
FERVUV_clean,FERVUV_clean_linker_10.xyz,FERVUV_clean_linker_4.xyz
JUSHAI_clean,JUSHAI_clean_linker_3.xyz,JUSHAI_clean_linker_2.xyz
BEPBAB_clean,BEPBAB_clean_linker_0.xyz,BEPBAB_clean_linker_0.xyz
VUKJUI_clean,VUKJUI_clean_linker_8.xyz,VUKJUI_clean_linker_8.xyz
SOYWUZ_clean,SOYWUZ_clean_linker_3.xyz,SOYWUZ_clean_linker_3.xyz
FALQIU_clean,FALQIU_clean_linker_0.xyz,FALQIU_clean_linker_0.xyz
XIWYEH_clean,XIWYEH_clean_linker_5.xyz,XIWYEH_clean_linker_4.xyz
UGELIB_clean,UGELIB_clean_linker_18.xyz,UGELIB_clean_linker_18.xyz
HOMXIR_manual,HOMXIR_manual_linker_6.xyz,HOMXIR_manual_linker_7.xyz
DAFHOJ_clean,DAFHOJ_clean_linker_2.xyz,DAFHOJ_clean_linker_2.xyz
ACAKUM_clean,ACAKUM_clean_linker_0.xyz,ACAKUM_clean_linker_0.xyz
TEQVAO_manual,TEQVAO_manual_linker_15.xyz,TEQVAO_manual_linker_15.xyz
MIZKOW_clean,MIZKOW_clean_linker_0.xyz,MIZKOW_clean_linker_10.xyz
FEWQIJ_manual,FEWQIJ_manual_linker_4.xyz,FEWQIJ_manual_linker_4.xyz
XOJPES_clean,XOJPES_clean_linker_3.xyz,XOJPES_clean_linker_2.xyz
MIFVEE_clean,MIFVEE_clean_linker_2.xyz,MIFVEE_clean_linker_2.xyz
PIQMOT_clean,PIQMOT_clean_linker_1.xyz,PIQMOT_clean_linker_1.xyz
BUQWER_clean,BUQWER_clean_linker_9.xyz,BUQWER_clean_linker_9.xyz
OTENEH_charged,OTENEH_charged_linker_21.xyz,OTENEH_charged_linker_21.xyz
ILENOC_clean,ILENOC_clean_linker_6.xyz,ILENOC_clean_linker_0.xyz
OYERUH_clean,OYERUH_clean_linker_13.xyz,OYERUH_clean_linker_13.xyz
BEXSII_clean,BEXSII_clean_linker_2.xyz,BEXSII_clean_linker_2.xyz
EXALAR_clean,EXALAR_clean_linker_1.xyz,EXALAR_clean_linker_1.xyz
XOLGEM_clean,XOLGEM_clean_linker_2.xyz,XOLGEM_clean_linker_2.xyz
EXEWIO_clean,EXEWIO_clean_linker_10.xyz,EXEWIO_clean_linker_11.xyz
KAVGAQ_clean,KAVGAQ_clean_linker_2.xyz,KAVGAQ_clean_linker_3.xyz
FATQID_clean,FATQID_clean_linker_17.xyz,FATQID_clean_linker_14.xyz
HAZNED_clean,HAZNED_clean_linker_4.xyz,HAZNED_clean_linker_4.xyz
KEBFII_clean,KEBFII_clean_linker_7.xyz,KEBFII_clean_linker_7.xyz
GAGQAI_clean,GAGQAI_clean_linker_4.xyz,GAGQAI_clean_linker_4.xyz
ECIYEU_clean,ECIYEU_clean_linker_5.xyz,ECIYEU_clean_linker_5.xyz
HUCXIO_clean,HUCXIO_clean_linker_2.xyz,HUCXIO_clean_linker_2.xyz
SAYTOD_clean,SAYTOD_clean_linker_6.xyz,SAYTOD_clean_linker_6.xyz
NUNSOG_clean,NUNSOG_clean_linker_2.xyz,NUNSOG_clean_linker_2.xyz
CIRTUU_clean,CIRTUU_clean_linker_17.xyz,CIRTUU_clean_linker_17.xyz
QODQEH_clean,QODQEH_clean_linker_7.xyz,QODQEH_clean_linker_7.xyz
FALVOF_clean,FALVOF_clean_linker_4.xyz,FALVOF_clean_linker_4.xyz
WEFDAO_clean,WEFDAO_clean_linker_7.xyz,WEFDAO_clean_linker_7.xyz
DALVIY_clean,DALVIY_clean_linker_57.xyz,DALVIY_clean_linker_79.xyz
FORPUY_clean,FORPUY_clean_linker_2.xyz,FORPUY_clean_linker_2.xyz
IHIMAP01_clean,IHIMAP01_clean_linker_0.xyz,IHIMAP01_clean_linker_5.xyz
ERIWAF_clean,ERIWAF_clean_linker_3.xyz,ERIWAF_clean_linker_3.xyz
ETEJIX_clean,ETEJIX_clean_linker_0.xyz,ETEJIX_clean_linker_2.xyz
LUWYUY_clean,LUWYUY_clean_linker_5.xyz,LUWYUY_clean_linker_4.xyz
HIHFUB_clean,HIHFUB_clean_linker_1.xyz,HIHFUB_clean_linker_1.xyz
RUYQIN02_clean,RUYQIN02_clean_linker_1.xyz,RUYQIN02_clean_linker_1.xyz
CUQSAK_clean,CUQSAK_clean_linker_5.xyz,CUQSAK_clean_linker_6.xyz
EPISOM_clean,EPISOM_clean_linker_3.xyz,EPISOM_clean_linker_3.xyz
IKOTUZ_clean,IKOTUZ_clean_linker_2.xyz,IKOTUZ_clean_linker_2.xyz
WOZWEP_clean,WOZWEP_clean_linker_2.xyz,WOZWEP_clean_linker_2.xyz
QOBPEE_clean,QOBPEE_clean_linker_0.xyz,QOBPEE_clean_linker_6.xyz
OKELOH_clean,OKELOH_clean_linker_1.xyz,OKELOH_clean_linker_1.xyz
KEFBII_clean,KEFBII_clean_linker_6.xyz,KEFBII_clean_linker_6.xyz
ITIPOS_clean,ITIPOS_clean_linker_3.xyz,ITIPOS_clean_linker_3.xyz
TAJXIO05_clean,TAJXIO05_clean_linker_59.xyz,TAJXIO05_clean_linker_9.xyz
PUSXIL_charged,PUSXIL_charged_linker_7.xyz,PUSXIL_charged_linker_7.xyz
DONXUB_clean,DONXUB_clean_linker_20.xyz,DONXUB_clean_linker_2.xyz
OVIZUP_clean,OVIZUP_clean_linker_14.xyz,OVIZUP_clean_linker_15.xyz
OTAXOX_clean,OTAXOX_clean_linker_7.xyz,OTAXOX_clean_linker_7.xyz
PUNFIO_clean,PUNFIO_clean_linker_1.xyz,PUNFIO_clean_linker_0.xyz
GITTUZ_clean,GITTUZ_clean_linker_16.xyz,GITTUZ_clean_linker_17.xyz
YUBFOR_clean,YUBFOR_clean_linker_0.xyz,YUBFOR_clean_linker_0.xyz
XOVVIO_clean,XOVVIO_clean_linker_4.xyz,XOVVIO_clean_linker_5.xyz
PELQII_clean,PELQII_clean_linker_2.xyz,PELQII_clean_linker_3.xyz
DEGPEL_charged,DEGPEL_charged_linker_11.xyz,DEGPEL_charged_linker_11.xyz
HAQKES_clean,HAQKES_clean_linker_19.xyz,HAQKES_clean_linker_31.xyz
YUNJIB_clean,YUNJIB_clean_linker_0.xyz,YUNJIB_clean_linker_0.xyz
XICNOO_clean,XICNOO_clean_linker_19.xyz,XICNOO_clean_linker_19.xyz
OLONAG_clean,OLONAG_clean_linker_4.xyz,OLONAG_clean_linker_4.xyz
GEGGUW_clean,GEGGUW_clean_linker_3.xyz,GEGGUW_clean_linker_3.xyz
HAJRES_clean,HAJRES_clean_linker_5.xyz,HAJRES_clean_linker_4.xyz
OCUSOV_clean,OCUSOV_clean_linker_3.xyz,OCUSOV_clean_linker_3.xyz
AYUJIP_clean,AYUJIP_clean_linker_11.xyz,AYUJIP_clean_linker_12.xyz
ZEGSUB_clean,ZEGSUB_clean_linker_13.xyz,ZEGSUB_clean_linker_13.xyz
VEDFOB_clean,VEDFOB_clean_linker_10.xyz,VEDFOB_clean_linker_10.xyz
EZOFEF_clean,EZOFEF_clean_linker_7.xyz,EZOFEF_clean_linker_15.xyz
MEJZEI_clean,MEJZEI_clean_linker_4.xyz,MEJZEI_clean_linker_5.xyz
DEZKEA_clean,DEZKEA_clean_linker_6.xyz,DEZKEA_clean_linker_6.xyz
HEGNIR_clean,HEGNIR_clean_linker_8.xyz,HEGNIR_clean_linker_1.xyz
KUNRAO_clean,KUNRAO_clean_linker_10.xyz,KUNRAO_clean_linker_11.xyz
BETHEP_clean,BETHEP_clean_linker_6.xyz,BETHEP_clean_linker_6.xyz
IXEJOL_clean,IXEJOL_clean_linker_3.xyz,IXEJOL_clean_linker_42.xyz
MOXKAN_clean,MOXKAN_clean_linker_10.xyz,MOXKAN_clean_linker_10.xyz
MUZGAQ_clean,MUZGAQ_clean_linker_0.xyz,MUZGAQ_clean_linker_1.xyz
UCAXEC_clean,UCAXEC_clean_linker_5.xyz,UCAXEC_clean_linker_3.xyz
NUVYOT_clean,NUVYOT_clean_linker_6.xyz,NUVYOT_clean_linker_5.xyz
DUKDOD01_clean,DUKDOD01_clean_linker_11.xyz,DUKDOD01_clean_linker_10.xyz
PELXIP_clean,PELXIP_clean_linker_8.xyz,PELXIP_clean_linker_8.xyz
OMIMEE_clean,OMIMEE_clean_linker_4.xyz,OMIMEE_clean_linker_40.xyz
ODONIF_clean,ODONIF_clean_linker_9.xyz,ODONIF_clean_linker_8.xyz
OHAKEO_clean,OHAKEO_clean_linker_2.xyz,OHAKEO_clean_linker_2.xyz
IZIHAC_clean,IZIHAC_clean_linker_0.xyz,IZIHAC_clean_linker_10.xyz
GADFAV_clean,GADFAV_clean_linker_2.xyz,GADFAV_clean_linker_2.xyz
