name,Boiling-Point,Melting-Point,Density,Dissociation Constants,Flash-Point
GADMAA01_clean,,148.0,,,
EQAMUG_clean,,,,,
OYIVEY_clean,,,,,
YOZRUC_clean,,,,,
ROLCEC14_clean,102.8425925925926,4.007936507936509,0.0,0.0,64.0925925925926
HUZSUR_clean,,,,,
DUXKEN_clean,305.0,111.0,,,
RUWZOA_clean,,,,,
TAVCIF_clean,,,,,
GUPNUC_clean,,,,,
PASKAX_clean,,,,,
KUMGIK_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
QUSCAJ_clean,,,,,
DOLPIF_clean,0.0,346.3333333333333,0.0,0.0,
QOBPEE_clean,277.51851851851853,42.21333333333333,0.0,0.0,
TUTJAU_clean,,,,,
FOXNIQ_clean,,254.0,,,
XADDUD_clean,0.0,346.3333333333333,0.0,0.0,
NUHQUE_clean,,,,,
NEYZAU_clean,,,,,
LIFSEA_clean,,315.0,,0.0,
VIWLAQ_clean,,276.0,,0.0,
HAFWIW_clean,,,,,
BOJYIK_clean,0.0,427.0,0.0,0.0,260.0
OWETIU_clean,,,,,
GAQYIH_clean,0.0,280.0,0.0,0.0,250.0
WUBHEI_clean,,,,,
ZEBMAW_clean,,,,,
TAKYEL_clean,,252.0,,,
MITSUE_clean,,,,,
VIWKOD_clean,,276.0,,0.0,
HOWQEQ_clean,,256.0,,,
PUMNIV_clean,,5.0,,,
EGUNAX_clean,,,,,
AVELUJ_clean,,,,,
YOYBUL_clean,305.0,111.0,,,
OWIJIP_clean,,,,,
FESBEM_clean,,,,,
OKILEA_clean,,,,,
HUCWOT_clean,,,,,
XOGXAU_clean,,,,,
EBINUA_clean,,,,,
KIFKEQ_clean,,,,,
HUNFON_clean,,,,,
SADLIU_clean,,,,,
FERWAC_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
ZUVTEP_clean,,148.0,,,
LAHYOL_clean,,,,,
KOXGAH_clean,,,,,
XADGOA_clean,,219.0,,,
POSFOU_clean,,,,,
HEGNUD_clean,277.51851851851853,42.21333333333333,0.0,0.0,
SUVNEE_clean,0.0,427.0,0.0,0.0,260.0
LOLREL_clean,-78.47200000000001,-70.17391666666666,0.0,,0.0
TIGQOR_clean,277.51851851851853,42.21333333333333,0.0,0.0,
POKGEC_clean,,,,,
FORQIN_clean,,252.0,,,
KEWZET_clean,,,,,
HIYMAF_clean,,,,,
DAPBED_clean,,,,,
EKIJEP01_clean,,,,,
GOBXAY_clean,0.0,427.0,0.0,0.0,260.0
MIHLEV_clean,,,,,
MINVOU01_clean,0.0,427.0,0.0,0.0,260.0
FIRPAZ_clean,0.0,0.0,0.0,0.0,167.83333333333331
OWUHOF_clean,,,,,
BAWROI_clean,,,,,
LITCIC_clean,,,,,
RUWXAJ_clean,,,,,
OMICOD_clean,,,,,
LECFEG_clean,,,,,
UKUBUY_clean,,,,,
ARAHIM02_clean,115.0,55.0,,,
DOQRUY_clean,,,,,
ILIQIF_clean,0.0,427.0,0.0,0.0,260.0
UWELIS_clean,,,,,
FAMQAO_clean,,,,,
YOYQUA_clean,,,,,
PUNFIO_clean,,276.0,,0.0,
XIVMEW01_clean,,,,,
KAVTEI_clean,,,,,
LUMYID_clean,,,,,
SUJNUH_clean,,,,,
