name,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,0ASA_m2_cm3,0ASA_m2_g,AV_VF,AV_cm3_g,0AV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,FSR_overlap
ATEJOA_clean,4.70745,4.24568,4.70745,1.89843,608.117,320.327,105.12,55.3722,0.4134,0.217759,0,Gd,0," ",1
ATE1ED_clean,7.47545,6.2198,7.47545,0.467817,3303.45,7061.42,0,0,0.7762,1.6592,0,Co,1,Co,1
ATE1OP_clean,10.52737,8.16815,10.52737,0.722386,2397.76,3319.23,0,0,0.744,1.02992,0,Gd,1,Gd,1
ATE1UV_clean,10.25531,8.1108,10.25531,0.751133,2430.54,3235.83,0,0,0.7324,0.975061,0,Ho,1,Ho,1
ATEZAC_clean,10.53968,7.74023,10.53968,0.687634,2293.89,3335.91,0,0,0.7586,1.1032,0,Er,1,Er,1
ATEZEG_clean,10.12518,7.5272,10.12318,0.775574,2361.78,3045.2,0,0,0.7158,0.922929,0,1b,1,1b,1
ATEZIK_clean,10.39835,7.60488,10.39835,0.744295,2329.14,3129.33,0,0,0.7298,0.980525,0,Lu,1,Lu,1
ATIBAG_clean,4.88713,3.88543,4.88713,1.64828,882.041,535.129,0,0,0.4606,0.279443,0,Mn,0," ",1
ATIBIO_clean,4.28706,2.8859,4.28516,1.7314,0,0,323.094,186.609,0.396,0.228717,0,Mn,0," ",1
ATIBOU_clean,4.75824,3.95303,4.75824,1.66268,883.495,531.369,0,0,0.4562,0.274376,0,Mn,0," ",1
ATIBOU01_clean,5.12784,4.01813,5.11026,1.59271,1003.99,630.367,0,0,0.4816,0.302377,0,Mn,0," ",1
ATIBOU02_clean,5.13844,4.03284,5.13064,1.58929,1001.62,630.232,0,0,0.4764,0.299756,0,Mn,0," ",1
ATIBUA_clean,4.92972,3.79229,4.92858,1.6758,825.852,492.811,0,0,0.4524,0.269961,0,Mn,0," ",1
ATICAH_clean,5.2478,3.97372,5.19698,1.59515,971.718,609.171,0,0,0.4788,0.30016,0,Mn,0," ",1
ATICEL_clean,4.9438,3.91943,4.9438,1.60993,940.703,584.311,0,0,0.4708,0.292434,0,Mn,0," ",1
ATIRUS_clean,4.46122,3.66446,4.46122,2.04969,327.839,159.946,0,0,0.4254,0.207544,0,Tb,1,Tb,1
ATIXAE_clean,6.03489,5.11879,6.02804,1.08037,1988.86,1840.92,0,0,0.5946,0.550369,0,Tb,1,Tb,1
ATIXUX_clean,4.75983,4.08689,4.75983,1.55048,933.775,602.248,10.5817,6.82478,0.5034,0.324673,0,Cd,0," ",1
ATOBIW_clean,7.08528,5.06381,7.08017,1.11276,1165.29,1047.21,0,0,0.533,0.478989,0,Zn,0," ",1
ATOBOC_clean,4.10394,2.71568,4.10207,1.44965,0,0,307.92,212.41,0.4132,0.285035,0,Cd,0," ",1
ATOGEV_clean,5.55487,4.3075,5.55487,1.61783,1414.83,874.522,0,0,0.6026,0.372475,0,Zn,0," ",1
ATOTIM_clean,13.98201,13.70774,13.96415,0.861631,1462.91,1697.84,0,0,0.6828,0.792451,0,V,0," ",1
ATOWIQ_clean,9.54888,7.69493,9.54888,0.866747,1781.33,2055.19,0,0,0.6812,0.785928,0,Zn,1,Zn,1
ATOWOW_clean,9.60606,7.73922,9.60387,0.865497,1776.39,2052.45,0,0,0.6816,0.787524,0,Zn,1,Zn,1
ATOXAJ_clean,4.64207,3.35259,4.36727,1.39547,832.332,596.452,0,0,0.46,0.329637,0,Zn,1,Zn,1
ATOXE0_clean,4.55968,3.64615,4.5327,1.32471,448.54,338.596,2.98507,2.25338,0.4716,0.356003,0,Zn,1,Zn,1
ATULIM_clean,4.7399,4.20115,4.72096,1.75805,590.761,336.032,0,0,0.3948,0.224567,0,Zn,0," ",1
ATURIS_clean,9.42302,7.17951,9.42302,0.556224,2442.91,4391.96,0,0,0.7926,1.42497,0,In,0," ",1
ATUXI1_clean,5.42434,3.78722,5.41357,1.56042,1520.84,974.637,0,0,0.5342,0.342345,0,Eu,1,Eu,1
ATUZEW_clean,10.5847,3.84767,10.5847,0.968927,2122.87,2190.95,0,0,0.6504,0.671258,0,Cu,1,Cu,1
AVAGIP_clean,4.84155,4.68679,4.83529,1.40449,799.444,569.206,0,0,0.4578,0.325955,0,Ag,1,Ag,1
AVAGOV_clean,4.8139,4.57423,4.8139,1.40471,790.723,562.91,0,0,0.4598,0.327328,0,Ag,1,Ag,1
AVAJUE_clean,37.52571,19.54108,37.52571,0.164116,999.284,6088.87,0,0,0.9304,5.66915,0,Cu,1,Cu,1
AVAKAL_clean,26.25291,12.57512,26.25291,0.207415,1259.45,6072.13,0,0,0.913,4.40181,0,Cu,1,Cu,1
AVAKEP_clean,25.17564,12.49369,25.17564,0.244994,1420.93,5799.87,0,0,0.8902,3.63356,0,Cu,1,Cu,1
AVAKIT_clean,24.85817,11.74477,24.85673,0.341138,1576.98,4622.72,0,0,0.8774,2.57198,0,Cu,1,Cu,1
AVAKOZ_clean,25.30833,7.92242,17.6803,0.389041,1712.48,4401.8,0,0,0.8514,2.18846,0,Cu,1,Cu,1
AVALEO_clean,3.5827,2.67831,3.53096,1.45932,0,0,13.0526,8.94432,0.4134,0.283282,0,Gd,0," ",1
AVEHAM_clean,4.51878,3.91316,4.51878,1.20992,526.263,434.955,0,0,0.4704,0.388785,0,Cu,0," ",1
AVELOD_clean,8.08398,4.98141,8.08398,0.915242,1686.35,1842.51,0,0,0.6036,0.659498,0,Cu,1,Cu,1
AVELUJ_clean,8.10638,4.88927,8.10638,0.902679,1696.47,1879.38,0,0,0.605,0.670227,0,0i,1,0i,1
AVEMAQ_clean,7.89565,4.97897,7.87662,0.907269,1685.58,1857.86,0,0,0.6116,0.674111,0,0i,1,0i,1
AVEMEU_clean,6.61027,6.23183,6.61027,1.92553,1204.57,625.581,0,0,0.4176,0.216876,0,Sr,0," ",1
AVEQID_clean,7.54994,6.22752,7.22874,0.801255,2259.4,2819.83,0,0,0.702,0.876126,0,Zn,1,Zn,1
AVEROJ_clean,7.02712,6.81539,7.02712,1.69759,1573.72,927.034,0,0,0.5918,0.348612,0,Cd,0," ",1
AVERUP_clean,5.85569,2.96583,4.47724,2.11843,0,0,536.613,253.306,0.475,0.224222,0,Cd,0," ",1
AVESAW_clean,4.33245,2.46317,3.59191,2.03317,0,0,234.942,115.554,0.4518,0.222214,0,Cd,1,Cd,1
AVESOL_clean,5.87217,4.28231,5.84929,0.954537,2386.36,2500.02,0,0,0.6616,0.693111,0,Zn,1,Zn,1
AVESUR_clean,6.33732,4.06042,6.33561,1.18458,2288.74,1932.12,0,0,0.6222,0.525251,0,Cd,1,Cd,1
AVETA1_clean,5.64584,4.05596,5.63489,1.01371,1738.43,1714.92,0.32856,0.324118,0.6096,0.601358,0,Zn,1,Zn,1
AVETEC_clean,5.69318,3.49916,5.67679,1.19478,1755.51,1469.31,2.63176,2.20271,0.6268,0.524615,0,Cd,0," ",1
AVEVEE_clean,4.17515,3.43562,4.17515,1.60472,795.582,495.775,0,0,0.4962,0.309212,0,Cd,0," ",1
AVIHI1_clean,6.88379,6.45442,6.88379,1.62124,1571.08,969.06,0,0,0.5722,0.35294,0,Ho,0," ",1
AVIHOE_clean,6.82367,6.45553,6.82367,1.66276,1569.85,944.123,0,0,0.5622,0.338112,0,Tm,0," ",1
AVILE1_clean,25.42698,10.76844,22.57889,0.654082,1604.18,2452.57,0,0,0.8422,1.28761,0,"Ir,Hf",1,Hf,1
AVIMIC_clean,5.83174,5.68454,5.8285,1.51867,600.182,395.202,0,0,0.4036,0.265759,0,Zn,0," ",1
AVIMOI_clean,5.73292,4.38571,5.54624,1.22616,1137.64,927.807,0,0,0.5176,0.422132,0,Zn,1,Zn,1
