name,mass,mass_per_metal,metal_3p_energy,oxygen_count,nitrogen_count,carbon_count,metal_3d_energy,metal_4s_energy,metal_7s_energy,metal_5f_energy,outer_shell_1,covalent_radius_1,thermal_conductivity_1,electron_affinity_1,3rd_most_stable_oxidation_state_1,outer_shell_2,lattice_param_2_2,period_2,electron_affinity_2
JUGLAA_clean,953.8324,238.4581,-21.637522,16.0,4.0,16.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
COWXOC_clean,498.9449,249.47245,-21.637522,7.0,3.0,10.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
OQEPUW_clean,769.7212,192.4303,-21.637522,14.0,0.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
TAQGEZ_clean,519.8352,259.9176,-21.637522,0.0,16.0,,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
RUYNIK_clean,859.75608,214.93902,-21.637522,18.0,0.0,10.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
ILIQIF_clean,476.9162,238.4581,-21.637522,8.0,2.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
WIFGOJ_clean,5181.636,215.90150000000003,-21.637522,0.0,96.0,24.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
PASTOU_clean,1511.6016,251.9336,-21.637522,0.0,24.0,24.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
LODKIA_clean,480.9016,240.4508,-21.637522,10.0,0.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
BONNIC_clean,282.51550000000003,282.51550000000003,-21.637522,2.0,3.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
QUJFUX_clean,641.362,213.7873333333333,-21.637522,8.0,4.0,10.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
SIVJIS_clean,785.4490999999999,261.8163666666666,-21.637522,10.0,6.0,17.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
HEKTUO01_clean,601.29,200.43,-21.637522,12.0,0.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
OFEHAK_clean,1635.7328,204.4666,-21.637522,8.0,16.0,32.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
SIRZUQ_clean,601.29,200.43,-21.637522,12.0,0.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
LIQFEY_clean,657.3102,219.1034,-21.637522,14.0,0.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
CUKXAJ_clean,1378.618,229.76966666666667,-21.637522,32.0,0.0,16.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
MOYNIY_clean,801.72,200.43,-21.637522,16.0,0.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
XATLIQ_clean,801.72,200.43,-21.637522,16.0,0.0,8.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
QOVSUR_clean,320.5436,320.5436,-21.637522,2.0,4.0,10.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
HIHGUC_clean,258.46608000000003,258.46608000000003,-21.637522,6.0,0.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
