name,Temp
XEHTUB_clean,416.586488
ECUTON_clean,284.2615139
HOFMAS_clean,228.0795338
VEHJID01_clean,385.2860502
MOJNAC_clean,390.2062734
MOLKAB_clean,349.3509662
ADEGIA01_clean,509.6428462
BOJYIK_clean,507.3943083
IHECAB_clean,326.1795041
BUVHEH_clean,585.852378
JUYROM_clean,307.0710259
BUQWER_clean,303.6504511
PUVREF_clean,224.1525424
QETSOY_clean,514.7298617
ABEFUL_clean,437.6718577
RUMROI_clean,273.0447153
HUVHIR_clean,313.1195335
HUVHOX_clean,334.9824061
YUQNAB_clean,254.2548689
EBAVIP_clean,379.6745665
EBAVOV_clean,382.3282681
EBAVUB_clean,398.0302628
EBAWIQ_clean,430.7297479
SAKDEQ_clean,486.1430756
XALDAS_clean,332.9601065
NAWKII_clean,458.5180164
YAJXIT_clean,360.8974359
YAJXUF_clean,413.3175838
ZALGEB_clean,390.6899413
SALXEL_clean,350.9445307
SALXIP_clean,285.5408744
KAVGAQ_clean,329.062285
PIJJOI_clean,400.3413058
TISGUY_clean,248.1889248
OKILEA_clean,341.6723528
OKILIE_clean,342.9170855
AVIMIC_clean,471.7452541
AVIMOI_clean,425.1819072
AVIMUO_clean,426.5973524
AVIPAX_clean,480.8796029
NABMUA01_clean,454.1465013
UZUNAF01_clean,243.4444691
UZUNAF_clean,243.4444691
OVIZID_clean,360.0830163
OVIZOJ_clean,366.9882384
OVIZUP_clean,365.4260379
AXUHEH_clean,287.6764633
AXUHIL_clean,317.5565065
YASPEP_clean,221.6902722
YARKAF_clean,304.1690772
YARKEJ_clean,333.3333333
YARKOT_clean,329.7266352
PAPVAF_clean,313.7735232
PAPVEJ_clean,314.1095609
PAPXUB_clean,282.4455577
RAVJOP_clean,433.4497262
KEBFII_clean,268.1025417
PEFRID01_clean,440.1864502
PEFRID_clean,440.1864502
HELDOT_clean,436.8380321
PEWKOT_clean,281.8117978
YICDAR_clean,174.1325536
KIRKAZ_clean,201.1271205
HISGIB_clean,340.0309647
DIMJUG_clean,417.8548319
DIMKIV_clean,391.5290557
DIMKUH_clean,413.9329148
KIYQEQ_clean,379.8447794
TISPAO_clean,251.0433499
