name,Temp
QUVFET_clean,220.3918202
OYIVOI_clean,220.6223325
TURFET_clean,221.1002994
DEJCEB_clean,221.1359659
YASPEP_clean,221.6902722
QAQNOO_clean,222.0740741
BASTUM_clean,222.277159
YOZBAS_clean,222.5490196
DANROC_clean,223.2953873
GUHPEG_clean,223.332949
EXAXAE_clean,223.6241199
WEMNAF_clean,223.9097744
PUVREF_clean,224.1525424
AJINOY_clean,224.2212227
OTODEI_clean,225.3962728
VEMMOQ_clean,225.5301073
ITIPOS_clean,225.5440552
PEWGEF_clean,225.5694778
OTODIM_clean,225.7011405
UCAXEC_clean,225.7972698
DOPHOH_clean,225.8084291
SEHZUB_clean,225.9205709
XADCEM_clean,226.0548559
UHASED_clean,226.230476
WOPDEL_clean,226.2666911
IZIKEJ_clean,226.2746931
TEWGEJ_clean,226.4090576
DEJCIF_clean,226.6666667
BAXFIR01_clean,227.0157608
BAXFIR02_clean,227.0157608
VAPBIZ_clean,227.2662675
VAPBEV_clean,227.2662675
VEMDAT_clean,227.8910078
HOFMAS_clean,228.0795338
FIFPAM_clean,228.4681074
LUMZEA_clean,228.7177529
YUKVAC_clean,228.9430855
LALFUB_clean,229.4763729
WEMNEJ_clean,229.5601968
AYUJIP_clean,229.593985
POHCOG_clean,229.6512875
QABKIQ_clean,229.9251473
QUVDOB_clean,229.9320956
TAVCIF_clean,230.2325581
GULWOA_clean,230.3691275
SIVVAW_clean,230.4285607
ODONEB_clean,230.9615385
TANFEV_clean,231.2531572
KUKPOX_clean,231.6158977
OTODOS_clean,232.6264881
SARNOQ_clean,232.7755488
KEGYAX_clean,233.0981775
EBELUU_clean,233.1684457
PEDMOB_clean,233.2997098
IVEQEG_clean,233.4501669
IZIKOT02_clean,233.8271435
WUPZUE_clean,234.3169026
YASNAJ_clean,234.4562767
MAWVAK_clean,235.6335283
MAWTUC_clean,235.6335283
HUZYAE_clean,236.0512968
CIDKUX_clean,236.317957
QOPPOC_clean,236.3475509
QIQZIB_clean,236.3655596
HOWPIU_clean,236.4221939
GUMBIA_clean,236.6336634
OZUMAZ01_clean,236.8540775
OZUMIH_clean,236.8540775
OZULUS_clean,236.8540775
OZUMAZ_clean,236.8540775
OBUFEX_clean,237.3237267
KOGYIP_clean,237.6470588
KOSKIO01_clean,237.7271839
KOSKEK_clean,237.7271839
KOSJUZ_clean,237.7271839
KOSJOT_clean,237.7271839
KOSJEJ_clean,237.7271839
KOSJAF_clean,237.7271839
KOSKAG_clean,237.7271839
KOSJIN_clean,237.7271839
KOSKIO_clean,237.7271839
KOSLAH_clean,237.7271839
IBICON_clean,237.932936
COXHIH_clean,238.2041423
COXHED_clean,238.2041423
OXAPEJ_charged,238.3623801
JUSHAI_clean,238.5345515
POWBIO_clean,238.5989011
KODSUT_clean,239.0117052
RUWZOA_clean,239.0359836
CUYVOI_clean,239.1080732
INEBOT01_clean,239.1568716
DALVIY_clean,239.7503291
WIZKOH_clean,240.348555
ALURIJ_clean,240.48132
VAXMUF_clean,240.8244149
GISWEM_clean,241.0494943
REWSUJ_clean,241.068917
ZIYPUU_clean,241.1260486
BASTAS_clean,241.5835629
BASTEW_clean,241.6877175
YUBFOR_clean,242.4113475
OFUYUL_SL,242.9118774
DOTFID_clean,243.1113567
UGEPEB01_clean,243.1182796
RIBDEN_clean,243.25
LASWEJ_clean,243.2926829
UZUNAF_clean,243.4444691
DAWBUA_clean,244.3280264
RIPKIM01_clean,244.7349106
BASTIA_clean,244.7680446
IBICED_clean,244.7769182
OSAWEL_clean,245.0286449
KUDWAJ_clean,245.2322764
GUDJOG_clean,245.2480693
NIJTOR_clean,245.4857143
WECJIZ_clean,245.651762
WUSGOI_clean,245.9842703
FATKIV_clean,247.1159667
EWUSUL_clean,247.1299461
EJOQUR_clean,247.31449
LIKDOA_clean,247.3417166
OCUMIL_clean,247.4395886
LUFQUZ02_clean,247.5061104
LUFQUZ_clean,247.5061104
LUFQUZ01_clean,247.5061104
BAZGAM_clean,247.7275472
RUWZUG_clean,247.8294744
OBUFIB_SL,247.8895646
KATDAM_clean,248.113791
TISGUY_clean,248.1889248
IROROY_clean,248.3238917
KIYMIP_clean,248.5444708
DAWCAH_clean,248.6994321
PAPPAZ_clean,248.7479004
VIXVUV_clean,248.8
PODKUQ_clean,248.9045202
WECFAN01_clean,248.9751553
ADODAA_charged,249.0443955
ZALDUO_clean,249.2003919
PODKOK_clean,249.6136872
LIPQIL_clean,249.6716099
FOVPUD_clean,249.9907172
BAKLIK_clean,250.0918728
MOXKAN_clean,250.0979435
TIVFAG_clean,250.3276388
TIVFEK_clean,250.3276388
TIQGEG01_clean,250.3276388
TIQGIK_clean,250.3276388
TIVFIO_clean,250.3276388
TIQGEG_clean,250.3276388
EWUTEW_clean,250.4466552
ZOMNEW_clean,251.1058
QOBPEE_clean,251.6478932
LAFFEG_clean,252.0484129
QIYDIN01_clean,252.2235263
FOVPOX_clean,252.676527
OWETIU_clean,253.3011625
ETEMIB_clean,253.358562
IGIZEF_clean,253.5751354
EWUSOF_clean,253.7092953
YUQNAB_clean,254.2548689
FAVZEJ_clean,254.422531
TADCOS_clean,254.463316
ZUTBUN_clean,254.585034
QEJYIP_clean,254.7937202
AYOQEM_clean,255.1386661
RIXBEG_clean,255.1589934
HAFWIW_clean,255.2968196
FUNGAY_clean,255.3435593
FATVOM_clean,255.6586375
FIJDIM04_clean,255.8132461
FIJDIM08_clean,255.8132461
FIJDIM10_clean,255.8132461
FIJDIM02_clean,255.8132461
FIJDIM09_clean,255.8132461
